# Query-time memory over the multi-GB scale corpus, measured with /usr/bin/time -l.
# This settles "must the engine hold its index resident, or can it mmap and page?" —
# usually where GitHub scale is decided.
#
# TWO metrics, because on macOS they answer different questions and only one is a cost:
#   maxrss    = "maximum resident set size". Counts CLEAN, file-backed, instantly
#               evictable mmap pages alongside owned memory. An mmap-scanning engine
#               is charged for the page cache it walks through; a read()-based one
#               is not, because read() never maps the file into the process.
#   footprint = "peak memory footprint". Apple's dirty/anonymous accounting — the
#               memory the process actually OWNS and the OS cannot reclaim.
#
# Each engine's on-disk index (du -sm): gist 389 MiB, csearch 402 MiB, zoekt 8882 MiB.
#
# MECHANISM, measured rather than inferred (see the two control rows below).
# An earlier draft of this file claimed gist's flat ~575 MiB was "the signature of
# loading the index rather than paging it". That was WRONG, and three measurements
# retire it:
#
#   1. vmmap over a live query: index.gist is 354.9 MiB virtual but only 11.5 MiB
#      RESIDENT — 3.2% of the postings blob. It is genuinely mmap'd and demand-paged,
#      exactly as designed (`Index.fromTrustedMappedBytes` borrows the mapping and
#      validates the directory only). The fully-resident index regions are the ones
#      a query must read end to end: paths.list 17.2 MiB, tree.map 11.0 MiB,
#      crest.bin 5.3 MiB.
#   2. The zero-candidate control: `pgxpool` does not occur in this corpus, so the
#      trigram filter elides EVERY read. It still costs 583 MiB. Residency therefore
#      has nothing to do with verifying candidates or with decoding postings.
#   3. The no-index control: the same query with --no-index, mapping no index at all,
#      still costs 535 MiB. So the index accounts for only ~48 MiB of maxrss and
#      ~14 MiB of footprint; the remaining ~535 MiB is present without it.
#
# Where the remaining ~535 MiB came from went unexplained for a while, and a second
# wrong answer was retired here on the way to the right one. The draft that replaced
# "the index is resident" said the cost was inherent to walking a live tree: every
# query re-walks all 336,780 files to honor "a stale index can accelerate a live tree
# without owning truth", one touched byte costs a whole 16 KiB page on macOS ARM64, so
# residency would track FILE COUNT rather than query or index size. That reasoning
# predicts any engine walking this tree pays this bill. RIPGREP WALKS THIS TREE AND
# DOES NOT — which is what made the remainder gist's OWN, and findable.
#
# The matched pair that settles it is deliberately NOT two numbers typed here any
# more. It is measured by `walkcost.py` and committed as `scale_walkcost.tsv`, which
# records its own corpus and walked-file count, because a pair in a comment is
# exactly the shape a fix invalidates in silence — and two fixes did:
#
#   · maxrss. The walk mapped every large file it read and held all of them until the
#     process exited, so its resident set tracked the CORPUS rather than the query. A
#     worker now drops each mapping in the frame that rendered it, on the branch where
#     a required-literal gate has already proven the file cannot match
#     (`corpus/read/slurp.zig`'s `release`).
#   · owned. The walk materialized every path it walked in the immortal per-worker
#     arena, and twice per entry: `task.rel` and `task.scope` are the same slice on
#     every walk but an explicitly-rooted one, and `handleEntry` joined both. One
#     prefix compare drops the second copy; the remaining joins moved onto the
#     per-directory scratch the worker already recycles, so only the three branches
#     that genuinely outlive a directory still dupe into the arena — a queued child
#     `DirTask`, a file deferred while the elision oracle is still loading, and a
#     `--sort` record. Worth 26.4 MiB of worker arena down to 3.0 on llvm-project
#     (`exec/cold/engine/swarm/descent.zig`).
#
# Neither was a price of freshness, and that was the tell: rg has PERFECT freshness —
# it reads the tree every time and trusts nothing — for 36 MiB. csearch's 3-11 MiB
# does come from not walking: it trusts its index and opens only the files its
# postings name, which is why it also cannot see a file created after indexing (see
# scale_truth.tsv). rg stays the honest denominator for a walk-cost claim.
#
# STALE, AND STAMPED RATHER THAN RE-TYPED: every gist column below predates both
# closures. The owned figures were captured while the walk still retained a path copy
# per entry, so "flat at 93-96 MiB" is a PRE-FIX reading and the live number is lower
# by this corpus's arena term. Refreshing them needs the multi-GB corpus and rebuilt
# csearch/zoekt indexes over byte-identical files — a deliberate re-measure, not a
# side effect of the change that invalidated them, and inventing the delta would be
# worse than labelling it. The rival columns are untouched by anything on gist's side.
#
# HONEST SCORE, on what survives that staleness. gist's owned working set is FLAT
# across every query class — a rare literal, a corpus-wide literal, a sub-trigram
# needle and a zero-candidate probe all land within 3 MiB of each other — where zoekt
# spends 558 MiB on one common term, the largest owned working set in this table.
# Against csearch gist loses maxrss outright, and that is the standing shortfall:
# csearch does not walk, so it is never charged for a tree it does not read.
#
# Residual in-lane opportunity, bounded and not taken: crest.bin's 5.3 MiB is walked
# eagerly at every load to derive the sliver tier's rescue set, though only a 1-2 byte
# needle consumes it. Making it lazy is ~5 MiB of 578 and would entangle the rescue
# set's base-table lifetime with the codicil merge whose soundness proof depends on
# reading the BASE crest rows before that merge rewrites them. Not worth that risk for
# 1% of a number the freshness walk dominates.
pattern	kind	gist_rss_mib	gist_fp_mib	csearch_rss_mib	csearch_fp_mib	zoekt_rss_mib	zoekt_fp_mib
kmem_cache_alloc	rare literal	580	93	11	5	374	—
func	corpus-wide literal	566	96	55	10	2266	558
})	sub-trigram literal	577	96	5	3	370	—
# --- controls that isolate the mechanism (gist only) ---
pgxpool	zero-candidate, index elides every read	583	96	—	—	—	—
pgxpool	zero-candidate, --no-index (no index mapped)	535	82	—	—	—	—
# The rg matched pair is NOT a row here: these columns are headed csearch/zoekt, and
# borrowing them to carry rg's numbers would misattribute the refutation. It lives in
# `scale_walkcost.tsv` and is rendered as its own table in the layer — which is also
# why it is the one number in this file that did not go stale when the walk changed.
